Year,RWI,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,January,February,March,April,May.1,June,July,August,September,October,November,December,p.Jan,p.Feb,p.Mar,p.Apr,p.May,p.Jun,p.Jul,p.Aug,p.Sep,p.Oct,p.Nov,p.Dec,p.January,p.February,p.March,p.April,p.May.1,p.June,p.July,p.August,p.September,p.October,p.November,p.December
1932,0.973,-6.1,-5.8,-5.9,-2.9,0.9,6.8,11.7,9,3.8,-3.2,-4.6,-2.6,80,40,11,8,34,15,65,40,74,5,34,21,-12.1,-12.5,-7.5,-3.3,3.4,5.6,12.9,8.7,3.3,-1,-4,-4.5,7,6,22,6,39,51,41,61,21,50,11,11
1933,0.904,-6.8,-13.7,-8.5,-4.7,1.6,10.5,11.9,10.5,5.8,-0.2,-3.6,-5.2,12,12,30,17,1,5,76,23,23,6,12,80,-6.1,-5.8,-5.9,-2.9,0.9,6.8,11.7,9,3.8,-3.2,-4.6,-2.6,80,40,11,8,34,15,65,40,74,5,34,21
1934,0.963,-4.4,-8,-7.9,-3.6,4,7.2,14.7,12.8,9.1,0.4,-3.4,-9.1,33,47,5,7,18,22,66,28,44,7,33,9,-6.8,-13.7,-8.5,-4.7,1.6,10.5,11.9,10.5,5.8,-0.2,-3.6,-5.2,12,12,30,17,1,5,76,23,23,6,12,80
1935,0.68,-8.7,-8.9,-5.4,-2.6,0.3,6.6,10.6,9.9,3.8,-0.3,-4.6,-6.5,73,18,7,26,8,33,62,7,15,28,10,23,-4.4,-8,-7.9,-3.6,4,7.2,14.7,12.8,9.1,0.4,-3.4,-9.1,33,47,5,7,18,22,66,28,44,7,33,9
1936,0.898,-13.9,-16.4,-9.4,-3.6,4.7,10.3,12.4,10.7,5.6,-0.7,-1.7,-3.3,29,13,30,2,4,11,65,34,24,15,19,43,-8.7,-8.9,-5.4,-2.6,0.3,6.6,10.6,9.9,3.8,-0.3,-4.6,-6.5,73,18,7,26,8,33,62,7,15,28,10,23
1937,1.239,-8,-12.4,-9.4,-0.2,5.1,9.8,13,13.3,5.9,2.3,-4.3,-11.4,6,20,24,2,23,42,21,40,21,19,26,12,-13.9,-16.4,-9.4,-3.6,4.7,10.3,12.4,10.7,5.6,-0.7,-1.7,-3.3,29,13,30,2,4,11,65,34,24,15,19,43
1938,0.949,-9.5,-3.2,-5.9,-2.1,2.4,8.6,14.6,10.6,6.8,2.8,-2,-6.8,18,30,16,17,11,69,39,68,12,19,20,7,-8,-12.4,-9.4,-0.2,5.1,9.8,13,13.3,5.9,2.3,-4.3,-11.4,6,20,24,2,23,42,21,40,21,19,26,12
1939,1.191,-12.2,-6.7,-7.8,-5.5,0.4,7.6,12.5,11.2,4.3,0.2,-3.1,-10,8,34,3,18,18,27,30,29,64,7,16,53,-9.5,-3.2,-5.9,-2.1,2.4,8.6,14.6,10.6,6.8,2.8,-2,-6.8,18,30,16,17,11,69,39,68,12,19,20,7
1940,1.09,-12.5,-11.7,-12.8,-3.8,6.4,9.5,9.9,9.4,6.1,1.5,-6.3,-8.5,17,14,12,20,21,8,51,89,33,9,8,24,-12.2,-6.7,-7.8,-5.5,0.4,7.6,12.5,11.2,4.3,0.2,-3.1,-10,8,34,3,18,18,27,30,29,64,7,16,53
1941,1.193,-11.3,-13.5,-9.7,-5,1.8,6.9,14.5,9.4,4.5,-1.4,-5.3,-10.8,31,8,10,3,2,5,41,49,74,16,6,24,-12.5,-11.7,-12.8,-3.8,6.4,9.5,9.9,9.4,6.1,1.5,-6.3,-8.5,17,14,12,20,21,8,51,89,33,9,8,24
1942,0.889,-15,-14.2,-11.4,-2.8,1.3,8.3,10.9,9.3,4.5,-3.2,-4.6,-11,10,8,35,8,29,45,66,50,24,26,36,12,-11.3,-13.5,-9.7,-5,1.8,6.9,14.5,9.4,4.5,-1.4,-5.3,-10.8,31,8,10,3,2,5,41,49,74,16,6,24
